Date,AN8068571086,AT0000746409,AU000000BPT9,AU000000ERA9,AU000000ORG5,AU0000088338,BMG2108M2182,BMG2178K1009,BMG5320C1082,BMG6359F1370,BRCMIGACNPR3,BRCPLEACNPB9,BREGIEACNOR9,BRELETACNPB7,BRLIGTACNOR2,BRPETRACNPR6,BRSBSPACNOR5,BRTRPLACNPR1,CA00208D4084,CA13321L1085,CA1363851017,CA1367178326,CA29250N1050,CA2927661025,CA3495531079,CA4530384086,CA6744822033,CA74022D4075,CA8672241079,CA89346D1078,CH0048265513,CL0000000035,CL0002694637,CLP3615W1037,CLP3710M1090,CLP371861061,CNE000000HW5,CNE000000SK7,CNE1000002Z3,CNE1000003D8,CNE1000006Z4,CZ0005112300,DE0007037129,DE000ENAG999,ES0116870314,ES0130670112,ES0144580Y14,ES0173093024,ES0173516115,FI0009007132,FR0000051070,FR0000120271,FR0013181864,GB0001500809,GB0003395000,GB0004478896,GB0006449366,GB0007908733,GB0007980591,GB00B033F229,GB00B19Z1432,GB00B1FH8J72,GB00B39J2M42,GB00B572ZV91,GB00BDR05C01,GB00BNNTLN49,GB00BP6MXD84,GRS298343005,HK0002007356,HK0003000038,HK0006000050,HU0000153937,ID1000053705,INE002A01018,INE029A01011,INE036A01016,INE094A01015,INE103A01014,INE129A01019,INE213A01029,INE242A01010,INE245A01021,IT0001233417,IT0003128367,IT0003132476,IT0005495657,JP3180400008,JP3228600007,JP3246400000,JP3350800003,JP3522200009,JP3526600006,JP3573000001,JP3585800000,JP3600200004,JP3605400005,JP3845400005,JP3850200001,KR7003480001,KR7010950004,KR7015760002,KR7036460004,LU0075646355,MHY8564W1030,MYL4324OO009,MYL4677OO000,MYL5347OO009,MYL5681OO001,MYL6033OO004,NL0000360618,NL00150003E1,NO0003078800,NO0005052605,NO0010199151,NZCENE0001S6,PHY0001Z1040,PHY5764J1483,PHY6885F1067,PK0022501016,PLPKN0000018,PTEDP0AM0009,RU0009024277,RU0009062467,TH0355A10Z04,TH0465010005,TH0471010Y04,TRATUPRS91E8,US00130H1059,US0188021085,US0236081024,US0255371017,US03743Q1085,US0495601058,US1258961002,US12653C1080,US1270971039,US1307881029,US15189T1079,US1667641005,US20825C1045,US2091151041,US2333311072,US25179M1036,US25746U1097,US2620371045,US26441C2044,US26875P1012,US26884L1098,US2810201077,US29364G1031,US29670G1022,US30034W1062,US30040W1080,US30161N1019,US30231G1022,US3379321074,US4062161017,US4198701009,US42330P1075,US4234521015,US42809H1077,US5526901096,US6267171022,US62955J1034,US6361801011,US65339F1012,US65473P1057,US6708371033,US6745991058,US6752321025,US6826801036,US69331C1080,US69351T1060,US7034811015,US7234841010,US7237871071,US7445731067,US75281A1097,US78454L1008,US8168511090,US8425871071,US8454671095,US88642R1095,US9026531049,US9026811052,US91913Y1001,US92939U1060,US9694571004,US98389B1008,ZAE000006896
2000-01-31,33574.85,1655.07,15.69,199.54,1724.38,413.26,405.42,4012.67,599.47,4032.79,1524.77,1016.78,507.35,1636.81,1862.24,10198.64,3145.68,133.62,297.01,799.27,2575.83,990.41,2964.79,76.35,270.77,8382.74,1087.07,1090.02,4705.99,1741.56,6592.98,1654.73,1212.9,429.68,3517.07,2810.89,156.06,18.59,228.01,178.41,335.45,1705.25,15158.19,21155.62,8228.49,19590.67,10427.27,761.08,21584.87,3670.63,79.91,89757.95,571.64,195.72,54.76,175.27,32.42,6726.05,171822.01,12223.89,154.52,3198.4,5317.31,92.46,10227.81,983.33,114436.2,3010.12,8693.45,6021.32,6445.29,2018.9,453.61,7023.11,1314.04,639.4,1321.42,269.58,1133.9,6853.68,4411.96,219.21,7697.13,49004.58,37897.85,1499.4,6190.13,16958.98,6312.41,3794.56,5026.2,11529.94,6378.93,31595.73,995.41,6708.54,2996.92,2911.98,252.74,911.88,19768.92,1675.01,284.53,510.32,356.84,2685.95,9468.89,551.63,3930.18,1082.27,604.71,278.72,10574.26,1535.51,951.04,310.45,1207.74,716.71,554.3,2525.04,9399.53,8122.24,1672.33,2105.75,496.77,858.8,7619.64,16536.52,2347.32,4468.06,6502.45,4164.03,550.72,3474.03,969.94,369.83,343.04,6745.02,54880.21,10352.98,7101.09,5040.31,2841.36,7966.23,544.3,21118.18,1892.01,1139.74,10112.4,6016.99,821.8,1089.47,2697.1,7756.56,288824.9,5301.29,15958.36,970.42,472.29,1257.93,4823.84,1129.55,2580.38,1092.36,1737.05,7557.51,2297.9,1580.33,7305.61,387.83,787.2,8423.56,3331.9,543.32,2616.29,858.87,7514.06,101.15,283.0,4461.51,17290.07,141.87,1582.21,991.35,579.91,1268.4,2328.09,16954.62,2968.27,4787.75
2000-02-29,40611.13,1781.21,13.4,184.25,435.83,356.51,351.97,3084.67,578.87,4883.59,1472.47,1168.77,508.12,1552.46,1934.01,11748.74,2820.42,232.23,283.39,699.99,2380.27,968.15,2854.45,75.06,264.0,8028.54,1047.45,1212.61,4204.18,1620.19,8173.22,1559.75,1275.03,426.58,3217.65,2640.64,150.03,15.94,174.63,148.94,260.19,1989.31,15803.23,22462.38,9006.24,22395.89,11310.4,1406.6,21568.08,3498.44,86.78,95771.9,549.09,252.53,52.95,176.26,30.89,7177.26,149976.64,13482.54,148.57,2840.58,5687.27,78.04,11506.68,911.46,112085.29,3088.43,9199.04,5505.35,6363.05,1866.49,412.91,6655.52,943.45,968.73,1114.6,251.47,1271.06,5468.48,3956.65,225.68,11161.28,47751.86,37213.19,1665.59,4680.99,14342.6,5637.29,3378.74,4593.65,10470.39,5167.01,29556.04,930.47,5951.0,2715.68,2642.98,176.55,940.58,16015.17,1950.72,288.84,680.43,360.0,2686.06,10285.15,543.78,3690.54,931.8,670.9,295.07,9931.63,1592.44,835.85,259.52,876.38,558.2,676.17,2290.03,11975.53,7627.13,1718.1,1582.31,330.12,511.61,5852.19,17297.55,2214.45,4116.45,5459.14,4164.03,539.99,1939.67,921.94,396.47,346.26,6079.75,49014.82,9656.45,5987.73,4378.3,3013.26,7000.27,585.25,17735.62,1817.53,1247.11,9114.18,4885.98,757.8,1051.17,2475.09,6932.14,260699.7,4310.94,16869.47,928.14,557.46,1425.21,4585.76,1086.79,2276.81,1412.78,1600.12,6919.32,1617.91,1337.2,5904.22,432.38,670.53,7919.58,2891.84,745.54,2340.89,833.79,6339.13,75.27,308.66,3678.32,14934.25,174.61,1575.25,1029.97,511.42,1421.73,2084.97,18177.31,2708.07,3882.32
2000-03-31,43352.43,1618.73,22.65,174.3,493.18,368.75,360.28,4139.88,483.29,5283.46,1563.4,1079.09,491.83,1630.21,1768.32,12224.39,2876.29,247.13,288.18,590.61,2961.57,904.02,3172.17,74.3,262.76,8915.83,1249.05,1417.85,4784.57,1627.04,10788.35,1426.42,1139.38,385.75,3006.82,2750.35,159.79,19.26,183.74,152.54,288.96,1887.66,16930.3,25695.42,8737.74,24287.51,11759.97,1330.81,24994.86,3409.78,81.05,108397.73,612.34,223.91,56.98,186.95,23.58,7017.0,178345.14,15275.33,146.82,3074.6,5751.64,92.1,13570.0,1011.33,125200.67,3375.07,9328.29,5895.78,6293.08,1902.68,387.39,7647.31,896.11,757.09,1029.54,267.91,1110.27,4463.7,3404.52,178.29,9250.8,54311.25,40052.37,2142.99,5991.17,14636.87,5894.65,3449.56,4677.76,11458.85,6054.81,29678.23,1032.85,6447.52,2805.59,2708.41,199.89,1044.08,18243.08,2125.72,332.73,872.3,331.58,2764.9,10448.45,546.4,3618.68,1182.88,629.45,301.93,10093.07,1784.58,800.95,263.85,891.51,565.28,673.69,2340.25,11225.84,11412.73,1654.32,1681.3,436.78,443.53,4505.81,16252.74,2396.53,4245.09,5786.69,5675.63,516.34,2098.89,842.64,447.84,295.1,6912.2,60663.56,11723.91,6199.02,4233.27,3928.37,9162.11,812.95,19251.22,2483.43,1469.89,5750.61,4870.89,742.44,1076.7,2953.73,6850.85,271213.9,4776.66,18242.34,1027.48,785.86,1659.4,5859.93,1183.93,2593.59,2046.52,1741.81,8210.49,2110.32,1494.0,7638.28,426.69,729.82,8081.34,3008.63,1037.62,2388.55,1050.18,6411.35,84.67,411.11,3422.88,14128.01,165.25,1769.98,1037.72,589.84,1710.95,2350.19,19400.2,3064.65,3782.22
2000-04-30,43387.86,1446.45,17.42,154.22,424.36,357.62,300.13,3559.63,449.1,5734.01,1364.04,948.71,410.19,1402.34,1619.38,10771.89,2688.02,172.92,295.28,708.81,2984.97,1001.16,3377.34,80.98,275.63,10104.68,1308.81,1347.77,4717.92,1628.51,9881.65,1306.08,1109.65,376.48,3151.15,2540.02,155.89,19.92,198.37,145.14,342.78,1733.91,15259.54,24903.43,7500.19,23021.34,11592.64,1245.06,24359.32,2968.0,79.93,110146.19,540.84,195.4,60.04,207.77,26.53,7264.99,196899.5,14263.38,138.47,3487.48,5296.98,82.76,12253.22,1207.61,123891.08,2831.42,9325.02,5685.17,6505.03,1736.68,311.17,8328.43,602.65,816.12,869.36,200.23,1036.3,3581.36,2863.56,125.02,7808.3,51496.17,39889.52,2176.68,6763.25,15393.79,5506.37,3227.03,4604.07,12135.97,6188.13,31920.5,1048.97,5928.03,2548.39,2505.1,217.61,1042.38,18745.9,1761.93,268.33,1038.45,344.21,2393.36,10285.21,538.56,2972.41,1121.95,591.91,268.52,9758.57,1592.3,692.98,241.83,894.24,495.04,592.17,2095.71,10662.33,11096.28,1500.94,1643.48,454.27,476.17,5140.03,18638.18,2362.08,5034.07,7109.02,5501.67,500.57,2094.27,822.81,460.24,301.57,7528.85,55745.86,12024.93,7470.02,4731.83,3934.84,10726.38,700.82,21084.67,2914.9,1521.15,6618.63,5957.64,983.93,1072.34,2953.73,7564.15,270343.9,5891.22,19607.05,1195.03,779.33,1676.13,5769.26,1244.56,2655.47,1586.67,1854.19,8062.0,2306.69,1542.66,7902.39,392.56,737.12,9981.42,3430.74,923.63,2970.6,1027.31,7763.96,57.28,464.43,3790.85,16198.5,212.82,1655.23,1031.27,557.45,1621.01,2565.68,16557.79,3415.6,3562.0
2000-05-31,41861.39,1554.72,14.05,146.71,447.32,369.68,193.44,3862.13,414.93,6251.98,1377.76,1028.0,450.24,1437.37,1398.36,10373.11,2072.84,177.85,320.86,787.7,3484.1,1023.4,3581.44,83.24,270.24,10515.4,1350.86,1823.5,4944.3,1709.23,10354.75,1168.41,1134.77,374.41,3222.28,2908.53,192.55,26.23,218.49,143.25,373.46,1651.94,17284.78,25647.9,7869.83,21818.94,11455.27,1426.45,25198.7,2911.42,56.38,113441.58,572.29,157.35,54.47,209.74,21.45,6683.44,206455.27,14461.45,133.36,3103.81,5191.49,83.19,11427.31,1143.34,131317.17,3019.74,9668.94,5583.44,6984.4,1713.54,329.75,8129.63,691.18,882.26,1040.99,176.5,852.74,4107.35,2632.5,141.24,7162.03,53758.41,42897.18,2182.68,6264.68,16868.83,6249.05,3491.38,5393.09,12920.13,6889.63,33798.08,1144.92,6305.0,2782.94,2759.91,176.22,934.44,17171.34,1621.64,328.74,1056.25,356.84,2335.91,11359.9,564.7,2876.5,1240.62,700.66,319.52,10188.73,1811.1,754.03,229.01,890.35,303.34,461.98,2024.48,10378.28,10126.66,1510.37,1563.27,367.74,263.61,4000.87,18128.0,2187.4,5034.07,6902.78,6918.91,578.82,2496.79,982.49,710.05,301.57,8116.63,60266.45,14533.25,6915.39,4930.68,5179.46,10877.93,744.73,21404.66,3814.29,1635.33,7102.82,6726.76,1012.94,1072.61,3286.36,7972.41,290021.3,5791.41,22612.83,1142.92,721.57,1852.03,6036.22,1394.96,2920.15,1725.15,2029.18,8852.62,2187.48,1518.33,8731.8,443.76,850.25,9994.41,3408.21,788.77,3029.17,1488.04,8059.21,112.52,502.7,3868.3,16823.68,231.57,2163.63,1108.91,601.51,1637.65,2544.55,18361.02,3464.53,3985.81
2000-06-30,42466.02,1556.2,12.53,198.14,549.23,465.25,247.83,3701.45,448.75,6053.04,1562.87,1203.02,551.26,1878.14,1593.78,13653.18,2160.47,189.98,348.52,676.65,3188.03,1111.75,3277.04,101.11,286.81,10526.84,1273.23,1822.45,5093.58,1784.3,11249.45,1150.93,1204.73,367.87,3036.55,2738.97,209.96,28.55,321.18,211.11,490.68,1564.88,15960.2,37046.99,8069.41,20592.05,11666.66,1555.99,23743.56,3084.3,69.58,111484.85,635.07,168.74,52.24,211.67,19.75,7865.88,217175.96,13345.47,136.92,3732.47,5449.65,113.57,11709.34,1355.47,133810.17,2946.69,9691.55,5813.63,6872.08,1362.01,418.82,8038.95,646.03,764.74,930.5,180.56,931.36,4502.27,2869.97,209.33,7160.7,53934.21,46407.06,2609.42,7096.71,17555.46,6856.96,3783.43,5383.2,13127.6,7914.39,33052.86,1212.0,6796.67,2948.75,2883.64,190.4,1352.97,19862.75,1684.28,313.05,1040.43,347.37,1950.11,10134.06,528.1,3260.85,1352.51,722.35,322.23,11228.09,1744.07,802.31,188.28,878.41,307.95,445.11,2026.12,10939.18,9390.49,1520.19,1579.09,390.95,243.59,3921.61,18959.1,2054.08,4631.0,9531.04,6687.92,553.14,2428.2,1188.81,603.27,313.7,8400.8,55295.18,12867.32,6279.48,4360.04,4865.55,10194.34,807.33,20715.66,3931.66,1586.03,6812.07,6252.44,839.0,1064.03,3230.66,6835.82,273268.4,5388.03,20948.08,1062.01,851.39,1858.25,5594.55,1322.35,2675.4,2181.32,1909.24,8819.21,2255.6,1440.47,7764.16,435.29,757.19,9488.67,3164.77,934.66,2870.29,1270.13,7491.29,125.02,587.36,3472.53,15121.04,156.47,2180.02,1134.69,557.33,1934.62,2386.46,18416.24,3161.14,4072.48
2000-07-31,42074.79,1497.3,17.0,191.07,569.77,450.22,280.93,3569.86,482.55,6062.14,1685.31,1178.19,636.47,2031.96,1918.54,11910.73,2562.96,231.31,349.18,661.75,3083.16,1084.88,3357.52,239.49,285.58,10492.07,1131.79,1604.56,4604.32,1841.54,10420.54,1157.0,1085.21,339.62,2859.11,2608.12,236.33,33.86,344.89,245.89,620.31,1790.5,17049.51,42325.54,7634.29,21965.37,10400.37,1303.54,22566.3,2617.83,57.73,107296.52,650.28,196.3,51.68,211.66,17.58,7036.92,197806.51,13531.97,140.95,3218.47,5482.01,105.1,12184.36,1346.08,127161.22,2669.04,9394.02,6051.74,6595.59,1330.53,374.43,7883.27,602.57,714.94,865.28,161.52,1037.81,4296.48,2613.45,199.5,7288.79,49775.59,44784.99,2558.23,6200.71,16450.55,6620.74,3581.51,5383.99,12776.21,6616.0,31914.2,1164.59,6378.96,2810.97,2772.24,179.71,1255.11,18456.45,1640.15,320.04,1427.4,344.21,1853.58,10624.49,470.58,2901.69,1353.55,671.08,334.42,10323.7,1671.58,723.1,176.24,784.45,258.62,467.56,2013.04,10118.42,10229.82,1531.64,1491.14,399.67,188.77,3823.3,23701.18,2078.77,4965.46,10556.53,6076.31,651.91,2805.46,1350.92,526.75,308.85,9519.72,51505.6,12899.05,6425.21,4475.95,3980.94,10803.62,689.68,22667.8,3469.54,1711.35,6835.65,6238.07,908.07,1085.48,3286.36,7238.55,278490.1,5877.85,20476.4,1027.62,758.1,1591.01,5481.3,1421.71,2711.97,2562.61,1931.27,8596.5,2354.0,1479.4,7464.65,349.38,779.09,9970.33,3895.1,817.83,3352.21,1070.89,7274.93,120.02,418.05,3830.0,15850.75,184.63,1789.94,1186.27,610.01,1580.45,2393.98,18443.85,3454.74,3844.06
2000-08-31,48547.8,1409.89,16.97,227.0,650.02,444.61,333.75,3858.51,489.3,6949.3,1603.67,1163.03,734.52,1726.8,1880.99,13685.88,3081.08,223.36,379.37,713.69,3538.44,1078.69,3584.28,251.78,291.54,10702.12,1226.18,1603.84,4975.69,1898.78,12582.45,1150.83,1054.53,336.54,2932.57,2316.74,270.42,38.18,335.69,275.22,625.05,1633.76,17600.6,36034.22,7265.8,20662.78,10380.52,1280.89,23554.89,2770.13,67.61,107592.91,693.39,236.81,69.17,213.68,15.82,6961.04,207504.06,13088.0,134.44,3362.68,5125.5,132.79,12182.58,1236.15,130597.6,2726.81,9339.66,6414.82,6759.09,1345.63,434.84,7748.34,576.8,658.84,903.74,148.45,906.25,3567.16,2498.32,205.57,7554.15,48301.53,46744.53,2548.58,6186.97,16059.79,7448.02,4084.79,5775.99,12506.58,7220.01,30256.79,1196.7,7191.44,3134.34,3092.43,171.74,1304.78,18820.54,1526.52,317.49,1760.46,339.47,1853.58,10381.23,504.57,2882.75,1461.21,714.86,363.89,11457.8,1951.22,651.65,185.18,828.16,270.08,459.67,1944.52,9735.86,11944.11,1604.61,2009.83,432.88,200.37,3367.93,29119.34,2310.84,5548.63,11340.73,7694.63,659.75,2867.19,1635.84,578.92,397.58,10583.25,55150.43,15707.34,6637.18,4957.43,5095.81,12608.7,785.3,27535.93,4489.13,1834.89,6740.21,6942.7,969.77,1386.98,3382.24,8177.17,284368.4,5657.85,23613.13,1059.99,904.88,1836.5,6165.12,1567.65,3005.82,2776.94,2059.74,9487.51,2901.32,1664.32,7977.03,400.35,932.35,11162.87,4845.23,1028.94,3490.15,1377.18,7772.25,218.28,576.77,3983.2,19418.26,194.01,2249.61,1118.91,616.17,1853.05,2589.84,20395.73,8462.85,4961.04
2000-09-30,46840.63,1403.01,15.07,197.29,584.63,342.15,255.95,3700.69,401.07,7656.11,1482.08,1146.28,716.84,1724.59,1908.24,12909.09,2745.65,199.47,359.1,717.89,3679.76,1071.6,3596.1,228.78,302.39,11131.34,1193.69,1689.58,4869.34,2158.08,12345.54,1150.94,1074.43,353.79,2968.96,2584.62,246.19,38.51,300.93,229.42,630.06,1569.38,16614.14,38752.68,7464.75,19901.98,11457.09,1277.34,22464.43,2873.11,59.26,108094.57,648.98,285.65,69.58,226.81,22.5,7001.79,201766.66,12841.73,133.0,3720.85,5590.96,137.49,12741.94,1340.98,129608.77,2798.94,9342.55,6424.54,6596.94,1613.6,374.07,7839.93,531.93,678.83,802.72,155.37,832.15,3301.93,2205.69,171.52,6624.33,46979.68,42372.02,2444.29,6492.97,15939.33,7385.26,4147.77,5710.39,11933.09,7463.19,31862.34,1221.11,7036.44,3239.96,3114.99,154.39,1347.77,16703.51,1413.8,322.81,1786.63,306.32,1343.84,9236.83,457.51,3072.24,1413.17,731.51,332.33,11159.11,1736.16,623.23,152.68,691.47,235.39,425.49,1668.56,9478.22,10625.04,1467.68,1637.91,378.96,184.86,3032.65,31289.01,2320.71,5745.88,12587.41,7221.35,655.77,2956.36,1262.5,589.77,405.16,13255.79,55639.94,15929.46,7233.47,5456.74,5233.95,13813.06,689.16,31561.65,4562.48,2065.01,6292.22,8496.61,959.43,1499.67,3224.28,10277.14,310497.2,6138.43,21803.16,1128.76,901.79,1796.1,6029.99,1865.5,2918.57,2501.75,2202.13,11687.19,2954.34,1659.45,8046.19,381.69,1160.42,9330.52,6038.47,1168.06,4311.04,1408.19,9581.3,210.09,642.98,4251.3,21039.83,219.04,2535.17,1125.38,654.99,2164.45,2429.88,18707.62,9285.92,4795.21
2000-10-31,43319.58,1215.81,15.22,180.62,609.41,341.35,233.63,3497.31,368.04,7436.95,1359.14,1163.89,717.3,1508.37,1602.15,11984.67,2564.68,153.8,350.65,817.86,3236.76,1126.51,4198.07,225.89,297.04,10825.62,1066.61,1346.14,4298.61,2186.81,11161.0,1104.83,992.64,343.01,2875.53,2566.18,261.9,46.15,341.2,223.85,581.8,1441.09,19006.22,38180.22,7667.56,17232.2,11012.82,1199.44,19373.93,2795.63,62.56,105584.36,592.95,270.93,72.54,215.45,20.84,7138.14,191792.75,13758.54,139.5,3654.28,5538.89,132.02,12880.46,1340.8,127041.34,2440.92,9713.49,6488.58,7046.59,1518.94,364.93,6798.17,551.99,516.97,771.98,146.77,778.21,3178.54,1982.64,160.75,5951.05,44921.03,43278.46,2288.25,6065.03,16016.35,6948.38,3720.01,5437.2,12147.01,7334.48,32833.56,1140.39,6770.18,3020.78,2967.75,135.32,1400.47,14293.23,1243.34,261.41,1422.64,298.42,1536.93,10054.32,447.06,3592.98,1241.24,751.34,308.7,10577.29,1408.58,643.44,131.54,483.15,186.95,387.91,1609.62,8137.98,9824.54,1629.06,1586.08,378.44,168.47,3393.66,25807.72,2394.78,5454.29,13351.5,6755.7,735.26,3267.57,1330.9,571.17,408.0,11776.99,53600.34,15675.61,7458.69,5153.59,4385.55,14169.91,570.34,31814.7,4621.16,1889.87,7778.73,8738.96,969.77,1482.33,3029.15,19452.95,310714.9,5896.31,16512.48,1066.05,784.51,1563.04,5585.2,1834.15,2608.98,2341.64,2106.39,11731.63,3022.52,1601.06,7331.49,322.86,1156.77,10391.35,5957.11,955.69,3680.81,1296.53,8897.88,190.99,653.44,4225.77,19053.41,200.26,2577.31,1086.57,626.29,2033.74,2292.77,18513.9,8631.68,4654.08
